Datum	Wtag	Sonntag	Losungsvers	Losungstext	Lehrtextvers	Lehrtext
10.10.2020	Samstag		Psalm 33,9	Wenn der HERR spricht, so geschieht’s; wenn er gebietet, so steht’s da.	Markus 4,39	Jesus stand auf und bedrohte den Wind und sprach zu dem Meer: Schweig! Verstumme! Und der Wind legte sich und es ward eine große Stille.
11.10.2020	Sonntag	18. Sonntag nach Trinitatis	Sprüche 20,12	Ein hörendes Ohr und ein sehendes Auge, die macht beide der HERR.	Matthäus 13,16	Selig sind eure Augen, dass sie sehen, und eure Ohren, dass sie hören.
12.10.2020	Montag		Psalm 16,2	Du bist ja der Herr! Ich weiß von keinem Gut außer dir.	Johannes 17,3	Das ist aber das ewige Leben, dass sie dich, der du allein wahrer Gott bist, und den du gesandt hast, Jesus Christus, erkennen.
13.10.2020	Dienstag		1. Chronik 28,20	/David sprach zu Salomo:/ Gott der HERR wird die Hand nicht abziehen und dich nicht verlassen, bis du jedes Werk für den Dienst im Hause des HERRN vollendet hast.	1. Korinther 4,1	Dafür halte uns jedermann: für Diener Christi und Haushalter über Gottes Geheimnisse.
14.10.2020	Mittwoch		Prediger 12,13	Fürchte Gott und halte seine Gebote; denn das gilt für alle Menschen.	Apostelgeschichte 10,34-35	/Petrus sprach:/ Nun erfahre ich in Wahrheit, dass Gott die Person nicht ansieht; sondern in jedem Volk, wer ihn fürchtet und Recht tut, der ist ihm angenehm.
15.10.2020	Donnerstag		Jeremia 25,5	Bekehrt euch, ein jeder von seinem bösen Wege und von euren bösen Werken.	Römer 7,22-23	/Paulus schreibt:/ Ich habe Freude an Gottes Gesetz nach dem inwendigen Menschen. Ich sehe aber ein anderes Gesetz in meinen Gliedern, das widerstreitet dem Gesetz in meinem Verstand und hält mich gefangen im Gesetz der Sünde.
16.10.2020	Freitag		Psalm 121,4	Siehe, der Hüter Israels schläft noch schlummert nicht.	1. Korinther 1,8	Jesus Christus wird euch auch fest machen bis ans Ende.
17.10.2020	Samstag		5. Mose 10,12	Nun, Israel, was fordert der HERR, dein Gott, noch von dir, als dass du den HERRN, deinen Gott, fürchtest, dass du in allen seinen Wegen wandelst und ihn liebst und dem HERRN, deinem Gott, dienst von ganzem Herzen und von ganzer Seele?	Jakobus 1,22	Seid Täter des Worts und nicht Hörer allein.
18.10.2020	Sonntag	19. Sonntag nach Trinitatis	1. Samuel 15,22	Gehorsam ist besser als Opfer.	Römer 16,19	/Paulus schreibt:/ Euer Gehorsam ist bei allen bekannt geworden. Deshalb freue ich mich über euch.
19.10.2020	Montag		Psalm 146,7	Der HERR macht die Gefangenen frei.	Johannes 8,36	Wenn euch nun der Sohn frei macht, so seid ihr wirklich frei.
20.10.2020	Dienstag		Prediger 7,14	Freu dich, wenn du einen Glückstag hast. Und wenn du einen Unglückstag hast, dann denke daran: Gott schickt dir beide, und du weißt nicht, was als Nächstes kommt.	Römer 8,28	Wir wissen, dass denen, die Gott lieben, alle Dinge zum Besten dienen, denen, die nach seinem Ratschluss berufen sind.
21.10.2020	Mittwoch		1. Könige 19,5.8	Ein Engel rührte Elia an und sprach zu ihm: Steh auf und iss! Und er stand auf und aß und trank und ging durch die Kraft der Speise vierzig Tage und vierzig Nächte bis zum Berg Gottes.	2. Korinther 4,7	Wir haben diesen Schatz in irdenen Gefäßen, auf dass die überschwängliche Kraft von Gott sei und nicht von uns.
22.10.2020	Donnerstag		Psalm 39,6	Siehe, meine Tage sind eine Handbreit bei dir, und mein Leben ist wie nichts vor dir. Ach, wie gar nichts sind alle Menschen, die doch so sicher leben!	2. Timotheus 1,10	Christus Jesus hat dem Tode die Macht genommen und das Leben und ein unvergängliches Wesen ans Licht gebracht durch das Evangelium.
23.10.2020	Freitag		Jesaja 55,3	Ich will mit euch einen ewigen Bund schließen.	Hebräer 13,20-21	Der Gott des Friedens, der den großen Hirten der Schafe, unsern Herrn Jesus, von den Toten heraufgeführt hat durch das Blut des ewigen Bundes, der mache euch tüchtig in allem Guten, zu tun seinen Willen, und schaffe in uns, was ihm gefällt.
24.10.2020	Samstag		Haggai 1,14	Der HERR erweckte den Geist des Volkes, dass sie kamen und arbeiteten am Hause des HERRN Zebaoth, ihres Gottes.	1. Timotheus 4,14	Lass nicht außer Acht die Gabe in dir, die dir gegeben ist.
25.10.2020	Sonntag	20. Sonntag nach Trinitatis	Amos 7,14-15	Amos sprach: Ich bin ein Rinderhirt, der Maulbeerfeigen ritzt. Aber der HERR nahm mich von der Herde und sprach zu mir: Geh hin und weissage meinem Volk Israel!	Markus 1,16-17	Als er aber am Galiläischen Meer entlangging, sah er Simon und Andreas, Simons Bruder, wie sie ihre Netze ins Meer warfen; denn sie waren Fischer. Und Jesus sprach zu ihnen: Kommt, folgt mir nach; ich will euch zu Menschenfischern machen!
26.10.2020	Montag		Jesaja 51,12	Ich, ich bin euer Tröster! Wer bist du denn, dass du dich vor Menschen fürchtest, die doch sterben?	1. Johannes 4,4	Der in euch ist, ist größer als der, der in der Welt ist.
27.10.2020	Dienstag		Hiob 9,2.3	Ich weiß wohl, es ist so: Wie könnte ein Mensch recht behalten gegen Gott. Hat er Lust, mit ihm zu streiten, so kann er ihm auf tausend nicht eines antworten.	Markus 12,32-34	Der Schriftgelehrte sprach zu Jesus: Ja, Meister, du hast recht geredet! Er ist #einer#, und ist kein anderer außer ihm; und ihn lieben von ganzem Herzen, von ganzem Gemüt und mit aller Kraft, und seinen Nächsten lieben wie sich selbst, das ist mehr als alle Brandopfer und Schlachtopfer. Da Jesus sah, dass er verständig antwortete, sprach er zu ihm: Du bist nicht fern vom Reich Gottes.
28.10.2020	Mittwoch		Psalm 18,32	Wo ist ein Fels außer unserm Gott?	1. Korinther 3,11	Einen andern Grund kann niemand legen außer dem, der gelegt ist, welcher ist Jesus Christus.
29.10.2020	Donnerstag		5. Mose 4,2	Ihr sollt nichts dazutun zu dem, was ich euch gebiete, und sollt auch nichts davontun, auf dass ihr bewahrt die Gebote des HERRN, eures Gottes.	1. Johannes 2,7	Meine Lieben, ich schreibe euch nicht ein neues Gebot, sondern das alte Gebot, das ihr von Anfang an gehabt habt. Das alte Gebot ist das Wort, das ihr gehört habt.
30.10.2020	Freitag		2. Mose 34,21	Sechs Tage sollst du arbeiten; am siebenten Tage sollst du ruhen.	1. Timotheus 4,16	Hab acht auf dich selbst und auf die Lehre; beharre in diesen Stücken!
31.10.2020	Samstag	Reformationstag	Psalm 59,17	Ich will des Morgens rühmen deine Güte; denn du bist mir Schutz und Zuflucht in meiner Not.	Markus 1,35	Am Morgen, noch vor Tage, stand Jesus auf und ging hinaus. Und er ging an eine einsame Stätte und betete dort.
01.11.2020	Sonntag	21. Sonntag nach Trinitatis	Psalm 18,29	Der HERR, mein Gott, macht meine Finsternis licht.	Markus 10,51-52	Jesus antwortete dem Blinden und sprach: Was willst du, dass ich für dich tun soll? Der Blinde sprach zu ihm: Rabbuni, dass ich sehend werde. Und Jesus sprach zu ihm: Geh hin, dein Glaube hat dir geholfen. Und sogleich wurde er sehend und folgte ihm nach auf dem Wege.
02.11.2020	Montag		Psalm 14,3	Sie sind alle abgewichen und allesamt verdorben; da ist keiner, der Gutes tut, auch nicht einer.	Römer 3,22-24	Da ist kein Unterschied: Alle haben ja gesündigt und die Herrlichkeit Gottes verspielt. Gerecht gemacht werden sie ohne Verdienst aus seiner Gnade durch die Erlösung, die in Christus Jesus ist.
03.11.2020	Dienstag		Jesaja 66,10	Freuet euch mit Jerusalem und seid fröhlich über die Stadt, alle, die ihr sie lieb habt! Freuet euch mit ihr, alle, die ihr über sie traurig gewesen seid.	Lukas 2,38	Hanna pries Gott und redete von ihm zu allen, die auf die Erlösung Jerusalems warteten.
04.11.2020	Mittwoch		Zefanja 3,14-15	Jauchze, du Tochter Zion! Frohlocke, Israel! Freue dich und sei fröhlich von ganzem Herzen, du Tochter Jerusalem! Denn der HERR hat deine Strafe weggenommen.	1. Johannes 2,2	Jesus Christus ist die Versöhnung für unsre Sünden, nicht allein aber für die unseren, sondern auch für die der ganzen Welt.
05.11.2020	Donnerstag		Josua 21,45	Von all dem Guten, das der HERR dem Haus Israel zugesagt hatte, war nichts dahingefallen; alles war eingetroffen.	Galater 4,28	Ihr aber, Brüder und Schwestern, seid wie Isaak Kinder der Verheißung.
06.11.2020	Freitag		Jesaja 45,6-7	Ich bin der HERR, und sonst keiner mehr, der ich das Licht mache und schaffe die Finsternis, der ich Frieden gebe und schaffe Unheil. Ich bin der HERR, der dies alles tut.	2. Thessalonicher 3,5	Der Herr richte eure Herzen aus auf die Liebe Gottes und auf das Warten auf Christus.
07.11.2020	Samstag		Jona 2,8	Als meine Seele in mir verzagte, gedachte ich an den HERRN, und mein Gebet kam zu dir.	Hebräer 6,12	Tut es denen gleich, die durch Glauben und Geduld die Verheißungen erben.
08.11.2020	Sonntag	Drittletzter Sonntag des Kirchenjahres	1. Mose 39,9	/Josef sprach zur Frau des Potifar, die ihn verführen wollte:/ Wie sollte ich ein so großes Unrecht begehen und wider Gott sündigen?	2. Timotheus 2,1	/Paulus schreibt an Timotheus:/ So sei nun stark, mein Kind, durch die Gnade in Christus Jesus.
09.11.2020	Montag		Jesaja 65,1	Ich ließ mich suchen von denen, die nicht nach mir fragten, ich ließ mich finden von denen, die mich nicht suchten.	Römer 3,28	So halten wir nun dafür, dass der Mensch gerecht wird ohne des Gesetzes Werke, allein durch den Glauben.
10.11.2020	Dienstag		Psalm 86,16	Wende dich zu mir und sei mir gnädig; stärke deinen Knecht mit deiner Kraft!	Philipper 4,19	Mein Gott aber wird all eurem Mangel abhelfen nach seinem Reichtum in Herrlichkeit in Christus Jesus.
11.11.2020	Mittwoch		Sprüche 15,16	Besser wenig mit der Furcht des HERRN als ein großer Schatz, bei dem Unruhe ist.	Markus 8,36	Was hilft es dem Menschen, die ganze Welt zu gewinnen und Schaden zu nehmen an seiner Seele?
12.11.2020	Donnerstag		Psalm 79,13	Wir, dein Volk, die Schafe deiner Weide, danken dir ewiglich und verkünden deinen Ruhm für und für.	Hebräer 13,15	So lasst uns nun durch Jesus Gott allezeit das Lobopfer darbringen, das ist die Frucht der Lippen, die seinen Namen bekennen.
13.11.2020	Freitag		Jesaja 44,3	Ich will Wasser gießen auf das Durstige und Ströme auf das Dürre: ich will meinen Geist auf deine Kinder gießen und meinen Segen auf deine Nachkommen.	Apostelgeschichte 2,39	/Petrus sprach:/ Euch und euren Kindern gilt diese Verheißung und allen, die fern sind, so viele der Herr, unser Gott, herzurufen wird.
14.11.2020	Samstag		Psalm 92,6	HERR, wie sind deine Werke so groß! Deine Gedanken sind sehr tief.	1. Timotheus 6,15-16	Dem König aller Könige und Herrn aller Herren, der allein Unsterblichkeit hat, der da wohnt in einem Licht, zu dem niemand kommen kann, den kein Mensch gesehen hat noch sehen kann, dem sei Ehre und ewige Macht! Amen.
15.11.2020	Sonntag	Vorletzter Sonntag des Kirchenjahres	Micha 6,8	Es ist dir gesagt, Mensch, was gut ist und was der HERR von dir fordert: nichts als Gottes Wort halten und Liebe üben und demütig sein vor deinem Gott.	2. Timotheus 2,22	Jage nach der Gerechtigkeit, dem Glauben, der Liebe, dem Frieden mit allen, die den Herrn anrufen aus reinem Herzen.
16.11.2020	Montag		3. Mose 19,18	Du sollst deinen Nächsten lieben wie dich selbst; ich bin der HERR.	Hebräer 13,1-2	Bleibt fest in der brüderlichen Liebe. Gastfrei zu sein vergesst nicht; denn dadurch haben einige ohne ihr Wissen Engel beherbergt.
17.11.2020	Dienstag		Jesaja 48,9	Um meines Namens willen halte ich meinen Zorn zurück, und um meines Ruhmes willen bezähme ich mich zu deinen Gunsten, dass ich dich nicht ausrotte.	2. Timotheus 1,9	Gott hat uns errettet und uns berufen mit heiligem Ruf, nicht aufgrund unseres Tuns, sondern aufgrund seiner freien Entscheidung und seiner Gnade, die uns in Christus Jesus zugedacht wurde.
18.11.2020	Mittwoch	Buss- und Bettag	Jesaja 26,13	HERR, unser Gott, es herrschen wohl andere Herren über uns als du, aber wir gedenken doch allein deiner und deines Namens.	Apostelgeschichte 5,29	Man muss Gott mehr gehorchen als den Menschen.
19.11.2020	Donnerstag		Psalm 34,9	Schmecket und sehet, wie freundlich der HERR ist. Wohl dem, der auf ihn trauet!	Lukas 14,17	Kommt, alles ist schon bereit!
20.11.2020	Freitag		Daniel 2,21	Er ändert Zeit und Stunde; er setzt Könige ab und setzt Könige ein.	Offenbarung 15,3-4	Groß und wunderbar sind deine Werke, Herr, allmächtiger Gott! Gerecht und wahrhaftig sind deine Wege, du König der Völker. Wer sollte dich, Herr, nicht fürchten und deinen Namen nicht preisen?
21.11.2020	Samstag		Psalm 63,4	Gott, deine Güte ist besser als Leben.	1. Johannes 4,16	Wir haben erkannt und geglaubt die Liebe, die Gott zu uns hat: Gott ist Liebe; und wer in der Liebe bleibt, der bleibt in Gott und Gott in ihm.
22.11.2020	Sonntag	Letzter Sonntag des Kirchenjahres – Ewigkeitssonntag	Jesaja 43,11	Ich, ich bin der HERR, und außer mir ist kein Heiland.	Epheser 4,5-6	#Ein# Herr, #ein# Glaube, #eine# Taufe; #ein# Gott und Vater aller, der da ist über allen und durch alle und in allen.
23.11.2020	Montag		Jesaja 57,15	Ich wohne in der Höhe und im Heiligtum und bei denen, die zerschlagenen und demütigen Geistes sind, auf dass ich erquicke den Geist der Gedemütigten und das Herz der Zerschlagenen.	Markus 6,34	Jesus sah die große Menge; und sie jammerten ihn, denn sie waren wie Schafe, die keinen Hirten haben.
24.11.2020	Dienstag		Psalm 98,3	Aller Welt Enden sehen das Heil unsres Gottes.	Markus 4,21	Zündet man denn ein Licht an, um es unter den Scheffel oder unter die Bank zu setzen? Und nicht, um es auf den Leuchter zu setzen?
25.11.2020	Mittwoch		Amos 6,6	Ihr trinkt den Wein kübelweise und verwendet die kostbarsten Parfüme; aber dass euer Land in den Untergang treibt, lässt euch kalt.	1. Timotheus 6,17-19	Den Reichen in der gegenwärtigen Welt aber gebiete, nicht überheblich zu sein und ihre Hoffnung nicht auf den flüchtigen Reichtum zu setzen, sondern auf Gott, der uns alles in reichem Maße zukommen und es uns genießen lässt. Sie sollen Gutes tun, reich werden an guten Werken, freigebig sein und ihren Sinn auf das Gemeinwohl richten. So verschaffen sie sich eine gute Grundlage für die Zukunft, die dazu dient, das wahre Leben zu gewinnen.
26.11.2020	Donnerstag		1. Chronik 29,13	Nun, unser Gott, wir danken dir und rühmen deinen herrlichen Namen.	Epheser 5,20	Sagt Dank Gott, dem Vater, allezeit für alles, im Namen unseres Herrn Jesus Christus.
27.11.2020	Freitag		Psalm 38,10	Herr, vor dir liegt all mein Sehnen, und mein Seufzen ist dir nicht verborgen.	Jakobus 1,3	Wisst, dass euer Glaube, wenn er bewährt ist, Geduld wirkt.
28.11.2020	Samstag		Jesaja 66,13	Ich will euch trösten, wie einen seine Mutter tröstet.	Johannes 14,18.19	/Jesus spricht:/ Ich will euch nicht als Waisen zurücklassen; ich komme zu euch. Denn ich lebe, und ihr sollt auch leben.
29.11.2020	Sonntag	1. Sonntag im Advent	Psalm 115,14	Der HERR mehre euch, euch und eure Kinder!	Lukas 1,50	Seine Barmherzigkeit gilt von Geschlecht zu Geschlecht denen, die ihn fürchten.
30.11.2020	Montag		Sacharja 2,12	So spricht der HERR Zebaoth: Wer euch antastet, der tastet seinen Augapfel an.	Römer 8,33	Wer will die Auserwählten Gottes beschuldigen? Gott ist hier, der gerecht macht.
01.12.2020	Dienstag		1. Mose 26,3	/Der Herr sprach zu Isaak:/ Bleibe als Fremdling in diesem Lande, und ich will mit dir sein und dich segnen.	1. Petrus 1,17	Führt euer Leben in Gottesfurcht, solange ihr hier in der Fremde weilt.
02.12.2020	Mittwoch		Psalm 11,1	Ich traue auf den HERRN. Wie sagt ihr denn zu mir: Flieh wie ein Vogel auf die Berge!	Johannes 14,27	/Jesus spricht:/ Frieden lasse ich euch, meinen Frieden gebe ich euch. Nicht gebe ich euch, wie die Welt gibt. Euer Herz erschrecke nicht und fürchte sich nicht.
03.12.2020	Donnerstag		5. Mose 16,17	Ein jeder gebe, was er geben kann nach dem Segen, den dir der HERR, dein Gott, gegeben hat.	2. Korinther 8,12	Wenn der gute Wille da ist, so ist jeder willkommen nach dem, was er hat, nicht nach dem, was er nicht hat.
04.12.2020	Freitag		Psalm 127,2	Es ist umsonst, dass ihr früh aufsteht und hernach lange sitzet und esset euer Brot mit Sorgen; denn seinen Freunden gibt er es im Schlaf.	Matthäus 6,8	Euer Vater weiß, was ihr bedürft, bevor ihr ihn bittet.
05.12.2020	Samstag		Psalm 68,6-7	Ein Vater der Waisen und ein Helfer der Witwen ist Gott in seiner heiligen Wohnung, ein Gott, der die Einsamen nach Hause bringt, der die Gefangenen herausführt, dass es ihnen wohlgehe.	Markus 1,32-34	Am Abend, da die Sonne untergegangen war, brachten sie zu Jesus alle Kranken und Besessenen. Und die ganze Stadt war versammelt vor der Tür. Und er heilte viele.
06.12.2020	Sonntag	2. Sonntag im Advent	Daniel 3,32	Es gefällt mir, die Zeichen und Wunder zu verkünden, die der höchste Gott an mir getan hat.	1. Johannes 1,2	Das Leben ist erschienen, und wir haben gesehen und bezeugen und verkündigen euch das Leben, das ewig ist, das beim Vater war und uns erschienen ist.
07.12.2020	Montag		Daniel 12,3	Die Verständigen werden leuchten wie des Himmels Glanz, und die viele zur Gerechtigkeit weisen, wie die Sterne immer und ewiglich.	2. Korinther 5,20	So sind wir nun Botschafter an Christi statt, denn Gott ermahnt durch uns; so bitten wir nun an Christi statt: Lasst euch versöhnen mit Gott!
08.12.2020	Dienstag		Joel 2,1	Der Tag des HERRN kommt und ist nahe.	2. Petrus 3,13	Wir warten auf einen neuen Himmel und eine neue Erde nach seiner Verheißung, in denen Gerechtigkeit wohnt.
09.12.2020	Mittwoch		5. Mose 8,7	Der HERR, dein Gott, führt dich in ein gutes Land, ein Land, darin Bäche und Quellen sind und Wasser in der Tiefe.	Römer 8,32	Gott hat seinen eigenen Sohn nicht verschont, sondern hat ihn für uns alle dahingegeben – wie sollte er uns mit ihm nicht alles schenken?
10.12.2020	Donnerstag		Jesaja 40,5	Die Herrlichkeit des HERRN soll offenbart werden, und alles Fleisch miteinander wird es sehen; denn des HERRN Mund hat’s geredet.	Johannes 1,14	Wir sahen seine Herrlichkeit, eine Herrlichkeit als des eingeborenen Sohnes vom Vater, voller Gnade und Wahrheit.
11.12.2020	Freitag		Daniel 6,27	Er ist ein lebendiger Gott, der ewig bleibt, und sein Reich ist unvergänglich.	Hebräer 13,8	Jesus Christus gestern und heute und derselbe auch in Ewigkeit.
12.12.2020	Samstag		Psalm 41,5	HERR, sei mir gnädig! Heile mich; denn ich habe an dir gesündigt.	Jakobus 5,15	Das Gebet des Glaubens wird dem Kranken helfen, und der Herr wird ihn aufrichten; und wenn er Sünden getan hat, wird ihm vergeben werden.
13.12.2020	Sonntag	3. Sonntag im Advent	Jeremia 10,6	Dir, HERR, ist niemand gleich; du bist groß, und dein Name ist groß, wie du es mit der Tat beweist.	1. Johannes 4,14	Wir haben gesehen und bezeugen, dass der Vater den Sohn gesandt hat als Heiland der Welt.
14.12.2020	Montag		Jesaja 26,9	Wenn deine Gerichte über die Erde gehen, so lernen die Bewohner des Erdkreises Gerechtigkeit.	2. Korinther 9,10	Der Samen gibt dem Sämann und Brot zur Speise, der wird auch euch Samen geben und ihn mehren und wachsen lassen die Früchte eurer Gerechtigkeit.
15.12.2020	Dienstag		1. Könige 8,24	/Salomo betete:/ So hast du an deinem Diener, meinem Vater David, gehandelt. Der heutige Tag ist Zeuge dafür, dass du dein Versprechen gehalten hast.	Lukas 1,68-69	Gelobt sei der Herr, der Gott Israels! Denn er hat besucht und erlöst sein Volk und hat uns aufgerichtet ein Horn des Heils im Hause seines Dieners David.
16.12.2020	Mittwoch		Psalm 77,15	Du bist der Gott, der Wunder tut, du hast deine Macht bewiesen unter den Völkern.	Kolosser 1,26-27	Gott wollte seinen Heiligen kundtun, was der herrliche Reichtum dieses Geheimnisses unter den Völkern ist, nämlich Christus in euch, die Hoffnung der Herrlichkeit.
17.12.2020	Donnerstag		Jeremia 31,17	Es gibt eine Hoffnung für deine Zukunft, spricht der HERR.	Offenbarung 3,20	Siehe, ich stehe vor der Tür und klopfe an. Wenn jemand meine Stimme hören wird und die Tür auftun, zu dem werde ich hineingehen und das Abendmahl mit ihm halten und er mit mir.
18.12.2020	Freitag		Hosea 4,1	Höret des HERRN Wort! Der HERR rechtet mit denen, die im Lande wohnen; denn es gibt keine Treue, keine Liebe und keine Erkenntnis Gottes im Lande.	Matthäus 3,2	Tut Buße, denn das Himmelreich ist nahe herbeigekommen!
19.12.2020	Samstag		Psalm 139,16	Deine Augen sahen mich, da ich noch nicht bereitet war, und alle Tage waren in dein Buch geschrieben, die noch werden sollten.	Lukas 10,20	Freut euch, dass eure Namen im Himmel geschrieben sind.
20.12.2020	Sonntag	4. Sonntag im Advent	Psalm 40,17	Die dein Heil lieben, lass allewege sagen: Der HERR sei hoch gelobt!	Epheser 1,5	Er hat uns dazu vorherbestimmt, seine Kinder zu sein durch Jesus Christus nach dem Wohlgefallen seines Willens.
21.12.2020	Montag		Jesaja 29,13	Dies Volk naht mir mit seinem Munde und ehrt mich mit seinen Lippen, aber ihr Herz ist fern von mir.	1. Johannes 3,18	Meine Kinder, lasst uns nicht lieben mit Worten noch mit der Zunge, sondern mit der Tat und mit der Wahrheit.
22.12.2020	Dienstag		Psalm 102,28	Gott, du bleibst, wie du bist, und deine Jahre nehmen kein Ende.	Offenbarung 1,8	Ich bin das A und das O, spricht Gott der Herr, der da ist und der da war und der da kommt, der Allmächtige.
23.12.2020	Mittwoch		Psalm 3,6	Ich liege und schlafe und erwache; denn der HERR hält mich.	Markus 10,15	Wahrlich, ich sage euch: Wer das Reich Gottes nicht empfängt wie ein Kind, der wird nicht hineinkommen.
24.12.2020	Donnerstag	Heiliger Abend	Psalm 42,3	Meine Seele dürstet nach Gott, nach dem lebendigen Gott. Wann werde ich dahin kommen, dass ich Gottes Angesicht schaue?	Matthäus 2,1-2	Da kamen Weise aus dem Morgenland nach Jerusalem und sprachen: Wo ist der neugeborene König der Juden? Wir haben seinen Stern aufgehen sehen und sind gekommen, ihn anzubeten.
25.12.2020	Freitag	Weihnachtsfest	Psalm 144,15	Wohl dem Volk, dessen Gott der HERR ist!	Lukas 2,10-11	Siehe, ich verkündige euch große Freude, die allem Volk widerfahren wird; denn euch ist heute der Heiland geboren, welcher ist Christus, der Herr, in der Stadt Davids.
26.12.2020	Samstag	2. Weihnachtstag	Jeremia 33,6	Siehe, ich will sie heilen und gesund machen und will ihnen dauernden Frieden gewähren.	Lukas 2,15	Die Hirten sprachen untereinander: Lasst uns nun gehen gen Bethlehem und die Geschichte sehen, die da geschehen ist, die uns der Herr kundgetan hat.
27.12.2020	Sonntag	1. Sonntag nach Weihnachten	Psalm 40,5	Wohl dem, der seine Hoffnung setzt auf den HERRN!	2. Petrus 1,19	Umso fester haben wir das prophetische Wort, und ihr tut gut daran, dass ihr darauf achtet als auf ein Licht, das da scheint an einem dunklen Ort, bis der Tag anbricht und der Morgenstern aufgeht in euren Herzen.
28.12.2020	Montag		Jesaja 50,4	Gott der HERR hat mir eine Zunge gegeben, wie sie Jünger haben, dass ich wisse mit den Müden zu rechter Zeit zu reden.	2. Korinther 1,4	Auch wir können trösten, die in allerlei Bedrängnis sind, mit dem Trost, mit dem wir selber getröstet werden von Gott.
29.12.2020	Dienstag		Maleachi 3,20	Euch, die ihr meinen Namen fürchtet, soll aufgehen die Sonne der Gerechtigkeit und Heil unter ihren Flügeln.	Johannes 1,11-12	Er kam in sein Eigentum; und die Seinen nahmen ihn nicht auf. Wie viele ihn aber aufnahmen, denen gab er Macht, Gottes Kinder zu werden: denen, die an seinen Namen glauben.
30.12.2020	Mittwoch		Jesaja 65,17	Siehe, ich will einen neuen Himmel und eine neue Erde schaffen, dass man der vorigen nicht mehr gedenken wird.	Matthäus 6,10	Dein Reich komme. Dein Wille geschehe wie im Himmel so auf Erden.
31.12.2020	Donnerstag	Altjahresabend	Psalm 6,10	Der HERR hört mein Flehen; mein Gebet nimmt der HERR an.	Johannes 16,24	Bittet, so werdet ihr empfangen, auf dass eure Freude vollkommen sei.
